name,status,neval_obj_Float16,neval_obj_Float32,neval_obj_Float64,neval_obj_fail_Float16,neval_obj_fail_Float32,neval_obj_fail_Float64,neval_grad_Float16,neval_grad_Float32,neval_grad_Float64,neval_grad_fail_Float16,neval_grad_fail_Float32,neval_grad_fail_Float64
chwirut1,exception,12,126,92,12,3,0,69,125,50,69,0,0
chwirut2,exception,18,125,80,18,2,0,69,122,44,69,0,0
cliff,first_order,14,11,2,0,0,0,22,15,1,13,0,0
clplatea,exception,3,371,1235,3,25,0,88,833,477,0,0,0
clplateb,exception,2,403,1284,2,14,0,102,1098,542,0,0,0
clplatec,max_iter,9,9725,1118,9,518,0,262,7130,148,0,0,0
cosine,exception,1,15,45,0,0,0,5,28,16,0,0,0
cragglvy,first_order,14,109,544,9,4,0,39,414,35,0,0,0
cragglvy2,first_order,15,126,2199,8,6,0,45,1377,242,0,0,0
curly,max_iter,2,237,9794,2,9,0,49,6219,38,0,0,0
curly10,max_iter,2,237,9794,2,9,0,49,6219,38,0,0,0
curly20,max_iter,0,225,9802,0,8,0,53,7193,43,0,0,0
curly30,max_iter,0,308,9733,0,11,0,76,6146,35,0,0,0
dixmaane,first_order,9,115,347,0,0,0,107,347,3,0,0,0
dixmaanf,first_order,8,125,305,0,0,0,119,301,3,0,0,0
dixmaang,first_order,9,125,289,0,0,0,120,285,2,0,0,0
dixmaanh,first_order,9,102,251,0,0,0,90,247,4,0,0,0
dixmaani,max_iter,10,459,9549,0,2,0,241,8508,3,0,0,0
dixmaanj,max_iter,10,92,9906,1,0,0,77,9564,5,0,0,0
dixmaank,max_iter,10,106,9894,1,0,0,66,9579,2,0,0,0
dixmaanl,max_iter,9,118,9882,1,0,0,57,9785,4,0,0,0
dixmaanm,max_iter,9,726,9335,1,7,0,242,6892,2,0,0,0
dixmaann,max_iter,9,193,9813,0,3,0,140,9175,4,0,0,0
dixmaano,max_iter,9,165,9840,0,0,0,102,9541,2,0,0,0
dixmaanp,max_iter,9,134,9870,0,0,0,91,9224,4,0,0,0
dixon3dq,max_iter,11,9971,24,3,0,0,62,9933,23,0,0,0
dqdrtic,first_order,23,1025,229,17,0,0,512,492,136,0,0,0
dqrtic,first_order,8,30,2,3,0,0,23,18,2,9,0,0
eckerle4,max_iter,0,7,9996,0,0,0,0,10,6892,0,0,0
edensch,exception,0,7,53,0,0,0,4,36,20,0,0,0
eg2,exception,0,6,21,0,0,0,4,17,8,0,0,0
engval1,first_order,4,13,49,0,0,0,9,32,16,0,0,0
enso,exception,0,88,354,0,0,0,6,288,190,0,0,0
errinros,max_iter,10,91,9912,1,0,0,49,6944,27,0,0,0
extrosnb,max_iter,46,9912,665,25,300,0,114,6717,39,0,0,0
fletcbv2,max_iter,0,9,9995,0,1,0,0,9678,317,0,0,0
fletcbv3,first_order,1,33,33,1,0,0,25,53,8,25,0,0
fletchcr,max_iter,11,486,9677,2,139,0,28,3213,6217,0,0,0
fminsrf2,max_iter,34,3273,7298,15,62,0,92,6805,20,0,0,0
freuroth,max_iter,2,11,9992,1,0,0,5,6422,4241,0,0,0
gauss1,max_iter,0,14,9988,0,0,0,0,0,6654,0,0,0
gauss2,exception,0,0,2,0,0,0,0,0,1,0,0,0
gauss3,max_iter,0,12,9990,0,0,0,0,0,6453,0,0,0
gaussian,first_order,0,21,157,0,0,0,0,51,129,0,0,0
genhumps,max_iter,7,9967,33,1,1,0,27,7340,10,0,0,0
genrose,max_iter,3,4693,5930,3,96,0,26,4385,3483,0,0,0
genrose_nash,exception,4,4447,3517,4,90,0,26,4631,1019,0,0,0
hahn1,max_iter,0,877,9125,0,0,0,0,141,6856,0,0,0
indef,max_iter,1,5384,5242,1,34,0,10,7295,11,0,0,0
integreq,first_order,0,7,24,0,0,0,1,15,23,0,0,0
jennrichsampson,first_order,1,5,103,0,0,0,4,50,35,0,0,0
kirby2,max_iter,0,19,9983,0,0,0,0,4,6457,0,0,0
kowosb,max_iter,2,693,9363,2,25,0,136,6548,1,136,0,0
lanczos1,max_iter,26,1267,9241,26,484,0,30,6544,2,30,0,0
lanczos2,max_iter,26,1260,9241,26,476,0,30,6558,2,30,0,0
lanczos3,max_iter,28,1266,9262,28,505,0,32,6545,2,32,0,0
liarwhd,first_order,11,1785,759,10,125,0,47,1406,448,0,0,0
meyer3,max_iter,0,5,9997,0,0,0,0,1,7012,0,0,0
mgh09,max_iter,7,4492,7590,7,1431,0,8,6932,2,8,0,0
mgh10,first_order,0,1,5,0,0,0,0,1,5,0,0,0
mgh17,first_order,7,337,343,7,47,0,16,459,48,16,0,0
